Date,Open,High,Low,Close,Volume,Company
2020-12-15,1816.7669,1816.7669,1788.1421,1799.5373,211535,RELIANCE.BSE
2020-12-14,1835.0905,1837.1416,1811.4340,1815.1716,232903,RELIANCE.BSE
2020-12-11,1833.4496,1857.6987,1799.9020,1828.3445,689028,RELIANCE.BSE
2020-12-10,1841.4718,1849.1294,1824.1055,1829.8031,270177,RELIANCE.BSE
2020-12-09,1835.0905,1854.0522,1823.2394,1847.5341,917242,RELIANCE.BSE
2020-12-08,1789.5095,1836.1844,1777.7952,1817.5418,683240,RELIANCE.BSE
2020-12-07,1770.3655,1791.3327,1770.3655,1784.9970,293809,RELIANCE.BSE
2020-12-04,1789.5095,1793.9309,1768.5423,1774.5134,250336,RELIANCE.BSE
2020-12-03,1795.8908,1806.0098,1784.9970,1789.9197,1489127,RELIANCE.BSE
2020-12-02,1789.4639,1789.4639,1763.9842,1784.5868,220138,RELIANCE.BSE
2020-12-01,1764.2121,1792.1532,1760.3377,1781.5784,593339,RELIANCE.BSE
2020-11-27,1769.4539,1782.9914,1751.7229,1759.2893,523191,RELIANCE.BSE
2020-11-26,1777.7040,1791.1960,1759.7907,1781.1226,450855,RELIANCE.BSE
2020-11-25,1805.0070,1815.9465,1770.6390,1775.6073,914063,RELIANCE.BSE
2020-11-24,1788.5979,1799.1727,1760.5200,1791.4239,750504,RELIANCE.BSE
2020-11-23,1758.5144,1795.8908,1756.6912,1778.3877,598632,RELIANCE.BSE
2020-11-20,1803.0015,1808.7447,1727.1547,1731.3482,863183,RELIANCE.BSE
2020-11-19,1810.8414,1832.3556,1794.0676,1798.3066,802733,RELIANCE.BSE
2020-11-18,1820.9148,1829.3017,1787.6863,1811.5707,427982,RELIANCE.BSE
2020-11-17,1899.8155,1899.8155,1809.5651,1816.7669,643296,RELIANCE.BSE
2020-11-13,1814.1232,1856.6503,1805.9187,1819.6841,1825121,RELIANCE.BSE
2020-11-12,1809.5651,1830.8515,1791.3327,1804.8703,711464,RELIANCE.BSE
2020-11-11,1907.1085,1910.1624,1804.0954,1820.4134,811189,RELIANCE.BSE
2020-11-10,1891.6109,1905.2852,1861.3451,1900.2713,1068647,RELIANCE.BSE
2020-11-09,1876.7515,1887.0528,1858.7014,1869.0939,843691,RELIANCE.BSE
2020-11-06,1812.3000,1859.7042,1802.8647,1849.6764,1886873,RELIANCE.BSE
2020-11-05,1776.7468,1786.7746,1760.7023,1782.3077,954587,RELIANCE.BSE
2020-11-04,1677.3803,1758.3777,1677.3803,1744.3388,1065630,RELIANCE.BSE
2020-11-03,1721.1380,1740.7379,1672.8222,1685.9951,1164099,RELIANCE.BSE
2020-11-02,1853.7787,1853.7787,1695.6127,1711.3837,1444243,RELIANCE.BSE
2020-10-30,1855.1461,1882.1757,1843.2951,1872.7860,354434,RELIANCE.BSE
2020-10-29,1822.6925,1861.8010,1814.8070,1847.4429,384785,RELIANCE.BSE
2020-10-28,1863.3507,1876.0222,1829.5296,1832.9938,1519047,RELIANCE.BSE
2020-10-27,1852.4113,1877.9366,1828.2989,1854.4168,476055,RELIANCE.BSE
2020-10-26,1915.3130,1919.8711,1840.0588,1849.4029,560855,RELIANCE.BSE
2020-10-23,1922.6060,1946.1258,1910.4359,1925.8422,618540,RELIANCE.BSE
2020-10-22,1935.3687,1944.5304,1906.6526,1920.8739,301966,RELIANCE.BSE
2020-10-21,1979.2176,1997.3588,1913.2619,1935.5966,534557,RELIANCE.BSE
2020-10-20,1990.7040,1999.8202,1961.9880,1964.9963,364138,RELIANCE.BSE
2020-10-19,1998.2704,2031.4534,1965.4521,1983.5022,352226,RELIANCE.BSE
2020-10-16,2019.0554,2034.7352,1980.9952,1983.2287,440109,RELIANCE.BSE
2020-10-15,2088.5208,2089.1589,2001.0964,2010.6229,1514858,RELIANCE.BSE
2020-10-14,2082.9599,2100.5542,2068.9665,2085.1934,306815,RELIANCE.BSE
2020-10-13,2034.9175,2083.9171,2031.2711,2078.7209,409570,RELIANCE.BSE
2020-10-12,2036.1026,2055.5657,2030.0404,2038.9287,262242,RELIANCE.BSE
2020-10-09,2039.2933,2053.5602,2021.2432,2036.2850,305022,RELIANCE.BSE
2020-10-08,2061.9015,2067.5535,2025.9837,2041.0254,419058,RELIANCE.BSE
2020-10-07,2035.8747,2105.2946,2024.7074,2057.6624,875121,RELIANCE.BSE
2020-10-06,2031.0887,2036.5585,2006.8852,2014.8163,259771,RELIANCE.BSE
2020-10-05,2047.4979,2050.2327,2010.5773,2015.7279,393079,RELIANCE.BSE
2020-10-01,2063.9070,2063.9070,2018.1893,2028.3995,285180,RELIANCE.BSE
2020-09-30,2064.6363,2067.1433,2028.4450,2036.3305,1560690,RELIANCE.BSE
2020-09-29,2025.6190,2063.9070,2021.1977,2046.4495,325287,RELIANCE.BSE
2020-09-28,2032.0004,2040.8431,2012.1726,2019.9214,516453,RELIANCE.BSE
2020-09-25,2001.9169,2017.0498,1976.9385,2007.1131,413085,RELIANCE.BSE
2020-09-24,2014.6796,2029.2655,1983.3654,1988.3793,439081,RELIANCE.BSE
2020-09-23,2073.9349,2075.3023,2011.1698,2032.5017,774144,RELIANCE.BSE
2020-09-22,2084.8743,2084.8743,2006.7941,2015.7279,693332,RELIANCE.BSE
2020-09-21,2101.2835,2130.0451,2049.3211,2055.8392,501009,RELIANCE.BSE
2020-09-18,2111.1289,2114.5931,2075.8037,2101.7393,518389,RELIANCE.BSE
2020-09-17,2114.0461,2128.0851,2090.3440,2096.1328,421866,RELIANCE.BSE
2020-09-16,2118.3307,2159.4448,2107.4369,2118.4675,653164,RELIANCE.BSE
2020-09-15,2110.3996,2120.8833,2085.9682,2113.0433,509141,RELIANCE.BSE
2020-09-14,2114.7298,2151.4225,2080.2706,2098.8677,619976,RELIANCE.BSE
2020-09-11,2110.0806,2130.4553,2084.0083,2113.9094,1330635,RELIANCE.BSE
2020-09-10,1991.8891,2136.7455,1983.8213,2110.0806,2449702,RELIANCE.BSE
2020-09-09,1900.7271,1975.6623,1900.7271,1970.2381,850676,RELIANCE.BSE
2020-09-08,1908.7494,1932.6338,1896.9895,1920.8283,481632,RELIANCE.BSE
2020-09-07,1896.3513,1918.9595,1864.5814,1898.3569,625358,RELIANCE.BSE
2020-09-04,1883.0417,1911.6665,1883.0417,1893.7988,461018,RELIANCE.BSE
2020-09-03,1939.9268,1948.1313,1917.3186,1925.4776,274998,RELIANCE.BSE
2020-09-02,1909.8433,1948.1313,1901.1829,1940.4737,1979773,RELIANCE.BSE
2020-09-01,1909.8433,1934.2291,1881.0817,1903.0517,542387,RELIANCE.BSE
2020-08-31,1980.0380,1980.0380,1879.0761,1894.8472,770897,RELIANCE.BSE
2020-08-28,1932.6338,1943.4821,1920.0535,1928.6227,463554,RELIANCE.BSE
2020-08-27,1956.5638,1958.6150,1917.8200,1925.0674,397191,RELIANCE.BSE
2020-08-26,1902.9150,1957.3843,1866.3135,1947.9946,857465,RELIANCE.BSE
2020-08-25,1918.9595,1924.7027,1894.6193,1897.9923,481884,RELIANCE.BSE
2020-08-24,1913.3075,1918.6404,1887.1896,1910.8005,560786,RELIANCE.BSE
2020-08-21,1932.4515,1932.4515,1893.4797,1897.7643,437199,RELIANCE.BSE
2020-08-20,1930.8561,1936.1891,1903.2796,1911.0740,494200,RELIANCE.BSE
2020-08-19,1952.6439,1963.6289,1933.8645,1944.6672,758768,RELIANCE.BSE
2020-08-18,1905.0117,1944.3937,1898.8583,1931.4943,642400,RELIANCE.BSE
2020-08-17,1917.2730,1921.0562,1887.0528,1906.6071,923799,RELIANCE.BSE
2020-08-14,1934.7305,1965.9079,1905.4675,1927.2552,1012345,RELIANCE.BSE
2020-08-13,1944.9407,1949.9546,1923.5176,1934.7305,458203,RELIANCE.BSE
2020-08-12,1936.2803,1955.3331,1920.4181,1939.5621,702687,RELIANCE.BSE
2020-08-11,1948.7695,1969.0986,1915.4498,1945.4421,697367,RELIANCE.BSE
2020-08-10,1965.9079,1973.6111,1921.9223,1932.2692,825626,RELIANCE.BSE
2020-08-07,1936.7817,1966.3637,1932.7250,1956.9740,960776,RELIANCE.BSE
2020-08-06,1969.0986,1975.9813,1920.7372,1945.8979,1248632,RELIANCE.BSE
2020-08-05,1978.2148,2001.0053,1930.8106,1938.6961,1793838,RELIANCE.BSE
2020-08-04,1838.8281,1975.4799,1824.3790,1961.0308,2053197,RELIANCE.BSE
2020-08-03,1877.0250,1877.0250,1826.8859,1830.9426,714727,RELIANCE.BSE
2020-07-31,1937.1919,1941.6133,1871.8288,1884.2724,1283236,RELIANCE.BSE
2020-07-30,1914.4014,1949.9546,1889.1495,1922.2869,1203821,RELIANCE.BSE
2020-07-29,1987.3310,1992.0714,1887.9644,1910.6182,1525220,RELIANCE.BSE
2020-07-28,1972.5627,1999.5467,1961.9880,1985.0064,1089402,RELIANCE.BSE
2020-07-27,1995.9914,2004.3783,1939.9723,1965.3154,2313290,RELIANCE.BSE
2020-07-24,1877.9366,1971.6511,1874.1990,1956.5182,2889272,RELIANCE.BSE
2020-07-23,1826.9771,1895.1662,1815.1260,1878.5292,1379049,RELIANCE.BSE
2020-07-22,1805.0526,1832.3556,1786.7746,1826.9771,1467946,RELIANCE.BSE
2020-07-21,1770.1832,1802.0899,1763.9842,1797.5773,1034423,RELIANCE.BSE
2020-07-20,1750.3554,1760.5656,1731.7128,1749.6717,756307,RELIANCE.BSE
2020-07-17,1681.9384,1750.2187,1675.7394,1742.4243,989480,RELIANCE.BSE
2020-07-16,1686.4965,1702.9056,1652.0828,1680.2063,1647250,RELIANCE.BSE
2020-07-15,1767.3571,1803.6396,1639.2290,1682.4854,2839024,RELIANCE.BSE
2020-07-14,1763.7107,1769.4539,1720.9557,1747.2559,1133553,RELIANCE.BSE
2020-07-13,1739.8262,1774.9236,1732.1686,1763.3460,1572760,RELIANCE.BSE
2020-07-10,1668.1729,1717.8562,1663.3413,1712.4776,1140279,RELIANCE.BSE
2020-07-09,1647.7526,1672.2752,1629.0644,1663.3413,705240,RELIANCE.BSE
2020-07-08,1664.6176,1672.6399,1631.8905,1638.4997,583648,RELIANCE.BSE
2020-07-07,1704.7289,1704.7289,1646.7499,1662.7488,717717,RELIANCE.BSE
2020-07-06,1641.9639,1693.7894,1633.6225,1687.7727,949421,RELIANCE.BSE
2020-07-03,1623.6403,1634.3518,1612.1995,1629.5202,857283,RELIANCE.BSE
2020-07-02,1595.3345,1610.6497,1581.1132,1604.9521,815775,RELIANCE.BSE
2020-07-01,1566.1627,1594.1038,1557.7302,1584.3039,469138,RELIANCE.BSE
2020-06-30,1582.8453,1586.8564,1546.1070,1552.8074,992945,RELIANCE.BSE
2020-06-29,1575.2789,1585.2155,1563.4278,1570.8575,670107,RELIANCE.BSE
2020-06-26,1577.4212,1596.7019,1565.4334,1588.5885,1385178,RELIANCE.BSE
2020-06-25,1576.1905,1594.4229,1562.3795,1566.1171,654657,RELIANCE.BSE
2020-06-24,1586.0360,1615.3901,1561.2399,1574.6863,1358724,RELIANCE.BSE
2020-06-23,1598.9810,1608.2339,1564.1571,1568.0315,1353529,RELIANCE.BSE
2020-06-22,1618.1706,1644.6531,1581.5235,1592.7820,2036832,RELIANCE.BSE
2020-06-19,1526.6895,1630.5230,1513.8357,1603.9949,2929255,RELIANCE.BSE
2020-06-18,1463.6510,1517.8468,1463.6510,1509.8702,1013987,RELIANCE.BSE
2020-06-17,1465.8845,1490.4527,1460.4148,1472.6305,890838,RELIANCE.BSE
2020-06-16,1496.4238,1502.2126,1445.0540,1474.5449,1267703,RELIANCE.BSE
2020-06-15,1437.6243,1482.9318,1423.5398,1472.2658,1125400,RELIANCE.BSE
2020-06-12,1362.8715,1452.2102,1362.8715,1448.3814,772239,RELIANCE.BSE
2020-06-11,1430.3313,1430.3313,1395.6442,1401.6153,330910,RELIANCE.BSE
2020-06-10,1404.8971,1439.4475,1404.4413,1433.0662,421611,RELIANCE.BSE
2020-06-09,1440.3592,1442.5015,1397.5586,1401.2507,504634,RELIANCE.BSE
2020-06-08,1480.4704,1480.4704,1426.7304,1431.2885,1111940,RELIANCE.BSE
2020-06-05,1460.3236,1474.7272,1435.1629,1440.9061,658406,RELIANCE.BSE
2020-06-04,1403.8944,1448.5637,1403.8944,1440.3136,710718,RELIANCE.BSE
2020-06-03,1408.4525,1421.2151,1397.7409,1406.1278,444528,RELIANCE.BSE
2020-06-02,1386.5736,1403.8944,1386.5736,1400.3390,418550,RELIANCE.BSE
2020-06-01,1349.1972,1403.1651,1345.2316,1386.0722,1016979,RELIANCE.BSE
2020-05-29,1340.7191,1341.4484,1324.5835,1335.7052,590240,RELIANCE.BSE
2020-05-28,1326.4067,1348.4679,1322.3500,1342.4968,641847,RELIANCE.BSE
2020-05-27,1307.2627,1325.5862,1287.3894,1319.0682,627533,RELIANCE.BSE
2020-05-26,1312.1854,1320.9370,1291.1270,1297.8730,468721,RELIANCE.BSE
2020-05-22,1326.2244,1329.5974,1300.6990,1305.0748,579294,RELIANCE.BSE
2020-05-21,1310.9092,1331.7397,1299.3772,1312.7780,558823,RELIANCE.BSE
2020-05-20,1282.9224,1318.0654,1270.4788,1307.8552,907872,RELIANCE.BSE
2020-05-19,1332.6969,1332.6969,1279.9141,1283.6973,714335,RELIANCE.BSE
2020-05-18,1341.7219,1351.0204,1301.7930,1313.3249,1308019,RELIANCE.BSE
2020-05-15,1317.9286,1337.3461,1290.4433,1329.9620,953907,RELIANCE.BSE
2020-05-14,1341.9042,1364.1477,1303.6618,1308.5845,795955,RELIANCE.BSE
2020-05-13,1399.1084,1399.1084,1325.4951,1364.1477,1489557,RELIANCE.BSE
2020-05-12,1438.5355,1438.5355,1326.4063,1349.4247,2892916,RELIANCE.BSE
2020-05-11,1442.1820,1472.1287,1433.0658,1437.3960,1076498,RELIANCE.BSE
2020-05-08,1413.0101,1440.0852,1401.7061,1423.7672,1445996,RELIANCE.BSE
2020-05-07,1321.8482,1379.9184,1317.1989,1374.0384,1001261,RELIANCE.BSE
2020-05-06,1332.7876,1352.8433,1318.2017,1332.4686,696700,RELIANCE.BSE
2020-05-05,1322.8054,1348.1028,1319.1133,1331.8760,662808,RELIANCE.BSE
2020-05-04,1314.5552,1335.4313,1294.2717,1308.5385,988172,RELIANCE.BSE
2020-04-30,1325.4947,1362.4153,1312.7320,1337.3913,1289280,RELIANCE.BSE
2020-04-29,1318.2017,1324.6286,1294.9554,1300.1517,649085,RELIANCE.BSE
2020-04-28,1323.1245,1326.1784,1268.9287,1301.8837,1313933,RELIANCE.BSE
2020-04-27,1312.7320,1344.2285,1297.1889,1303.8893,1163737,RELIANCE.BSE
2020-04-24,1235.1532,1362.8711,1228.8630,1292.0838,2475402,RELIANCE.BSE
2020-04-23,1248.6452,1263.3678,1234.5606,1250.2861,1479156,RELIANCE.BSE
2020-04-22,1203.3377,1262.3194,1185.1053,1242.8564,2654572,RELIANCE.BSE
2020-04-21,1101.3274,1141.8489,1061.5353,1126.8072,1158176,RELIANCE.BSE
2020-04-20,1118.1012,1145.9056,1096.0401,1134.4648,803967,RELIANCE.BSE
2020-04-17,1112.1757,1121.2008,1087.2885,1116.7794,564636,RELIANCE.BSE
2020-04-16,1045.2629,1082.4113,1045.2629,1065.4096,597698,RELIANCE.BSE
2020-04-15,1094.8550,1126.7161,1041.7075,1048.4079,842093,RELIANCE.BSE
2020-04-13,1101.2363,1107.6176,1075.7109,1084.1434,450162,RELIANCE.BSE
2020-04-09,1104.1535,1123.7989,1087.7899,1111.4464,630725,RELIANCE.BSE
2020-04-08,1071.1528,1120.3347,1059.1651,1086.7871,1082581,RELIANCE.BSE
2020-04-07,1008.2511,1106.4325,1003.6930,1099.7777,1258845,RELIANCE.BSE
2020-04-03,1030.1300,1031.5886,963.5818,982.9081,1487427,RELIANCE.BSE
2020-04-01,1017.5496,1025.5263,952.4144,985.1416,833266,RELIANCE.BSE
2020-03-31,976.3444,1029.2184,956.1065,1014.1310,2139567,RELIANCE.BSE
2020-03-30,955.3316,979.0793,929.8518,941.1103,1491354,RELIANCE.BSE
2020-03-27,1002.7814,1009.8009,954.6935,971.3305,88311810,RELIANCE.BSE
2020-03-26,993.6652,1018.4157,950.9558,979.7630,930691,RELIANCE.BSE
2020-03-25,866.9501,1050.1856,866.9501,985.6885,118727948,RELIANCE.BSE
2020-03-24,859.6571,884.6355,816.6287,859.7483,1035283,RELIANCE.BSE
2020-03-23,838.6899,867.8617,798.3051,805.7348,1259448,RELIANCE.BSE
2020-03-20,856.0107,942.3410,847.8517,930.0342,1796309,RELIANCE.BSE
2020-03-19,843.2480,881.9918,812.2529,836.0462,1581683,RELIANCE.BSE
2020-03-18,932.5867,943.6173,876.2486,883.2225,1014234,RELIANCE.BSE
2020-03-17,949.1782,965.4050,915.2659,919.7329,973957,RELIANCE.BSE
2020-03-16,971.4673,984.2299,916.6789,925.5216,909725,RELIANCE.BSE
2020-03-13,916.1775,1039.1550,856.7855,1009.0716,2191061,RELIANCE.BSE
2020-03-12,990.9303,1003.4195,956.7446,967.7752,1052655,RELIANCE.BSE
2020-03-11,1014.7692,1074.2524,1011.8976,1051.3251,6111134,RELIANCE.BSE
2020-03-09,1134.9662,1134.9662,998.1777,1014.7692,1694123,RELIANCE.BSE
